id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,url
232829912,Atlantic Menhaden,2024-07-29 16:05:06-04:00,"Sea Girt, New Jersey 08750, États-Unis","[40.1387920563, -74.0289248899]",research,,https://www.inaturalist.org/observations/232829912
232617897,Atlantic Menhaden,2024-07-29 12:38:01-04:00,"Boulevard East, Keyport, NJ, US","[40.4528783333, -74.2322]",research,,https://www.inaturalist.org/observations/232617897
231932563,Atlantic Menhaden,2024-07-26 17:06:56-04:00,"New Jersey, US","[39.1448528212, -74.7365735485]",research,,https://www.inaturalist.org/observations/231932563
229240603,Atlantic Menhaden,2024-07-13 19:23:58-04:00,United States,"[40.1014438898, -74.1434479836]",research,,https://www.inaturalist.org/observations/229240603
229126202,Atlantic Menhaden,2024-07-13 17:52:59-04:00,"North Atlantic Ocean, North Wildwood, NJ, US","[39.0055960337, -74.7876311287]",research,,https://www.inaturalist.org/observations/229126202
228560298,Atlantic Menhaden,2024-07-10 20:43:11-04:00,"Barnegat Bay, Seaside Park, NJ, US","[39.9339907399, -74.0794357318]",research,,https://www.inaturalist.org/observations/228560298
227526118,Atlantic Menhaden,2024-07-06 10:49:46-04:00,"Raritan River, Highland Park, NJ, US","[40.4884949132, -74.4222488017]",research,,https://www.inaturalist.org/observations/227526118
227453551,Atlantic Menhaden,2024-07-05 22:49:21-04:00,"Ocean Ave, Sea Bright, NJ, US","[40.3589033333, -73.9752966667]",research,,https://www.inaturalist.org/observations/227453551
227452554,Atlantic Menhaden,2024-07-05 22:38:56-04:00,"Ocean Ave, Sea Bright, NJ, US","[40.3589216667, -73.97538]",research,,https://www.inaturalist.org/observations/227452554
226674591,Atlantic Menhaden,2024-07-01 14:00:33-04:00,"Wills Hole Thoroughfare, Point Pleasant Beach, NJ, US","[40.1006583333, -74.0494166667]",research,,https://www.inaturalist.org/observations/226674591
226673742,Atlantic Menhaden,2024-07-01 16:32:10-04:00,"Shark River, Belmar, NJ, US","[40.1872, -74.01116945]",research,,https://www.inaturalist.org/observations/226673742
225844835,Atlantic Menhaden,2024-06-04 14:08:00-04:00,"Seaside Park, NJ 08752, USA","[39.924797, -74.079722]",research,,https://www.inaturalist.org/observations/225844835
224227007,Atlantic Menhaden,2024-06-21 13:52:01-04:00,"Sea Girt Beach, Sea Girt, NJ, US","[40.1276184997, -74.0284380397]",research,,https://www.inaturalist.org/observations/224227007
224222530,Atlantic Menhaden,2024-06-21 13:28:44-04:00,"Sea Girt Beach, Sea Girt, NJ, US","[40.1272671702, -74.0298628271]",research,,https://www.inaturalist.org/observations/224222530
224199049,Atlantic Menhaden,2024-06-20 15:03:50-04:00,"Wills Hole Thoroughfare, Point Pleasant Beach, NJ, US","[40.100625, -74.0494221667]",research,,https://www.inaturalist.org/observations/224199049
224197602,Atlantic Menhaden,2024-06-20 21:36:56-04:00,"Wreck Pond, Sea Girt, NJ, US","[40.1384195, -74.0272]",research,,https://www.inaturalist.org/observations/224197602
222586704,Atlantic Menhaden,2024-06-13 21:43:16-04:00,"Wills Hole Thoroughfare, Point Pleasant Beach, NJ, US","[40.1006471667, -74.0494611667]",research,Alive or Dead: Alive,https://www.inaturalist.org/observations/222586704
221926268,Atlantic Menhaden,2024-06-10 02:46:11-04:00,"Point Pleasant Beach, NJ 08742, USA","[40.1007419722, -74.0489409722]",research,,https://www.inaturalist.org/observations/221926268
221408362,Atlantic Menhaden,2024-06-08 17:04:49-04:00,"Cumberland County, US-NJ, US","[39.19409273, -75.01808185]",research,,https://www.inaturalist.org/observations/221408362
221387612,Atlantic Menhaden,2024-06-07 16:34:28-04:00,"Raritan Bay, Keyport, NJ, US","[40.4542283333, -74.2268966667]",research,,https://www.inaturalist.org/observations/221387612
221029120,Atlantic Menhaden,2024-06-06 21:17:33-04:00,"Lakeshore Dr, Atlantic Highlands, NJ, US","[40.4521533333, -74.2225583333]",research,,https://www.inaturalist.org/observations/221029120
219878646,Atlantic Menhaden,2024-06-01 16:20:15-04:00,"North Atlantic Ocean, NJ, US","[40.3159841641, -73.907940804]",research,,https://www.inaturalist.org/observations/219878646
219853737,Atlantic Menhaden,2024-06-01 09:29:10-04:00,"Bay Ave, Heislerville, NJ, US","[39.1936383333, -75.0209721667]",research,,https://www.inaturalist.org/observations/219853737
218021503,Atlantic Menhaden,2024-05-24 19:06:20-04:00,"Raritan Bay, Sayreville, NJ, US","[40.477225, -74.2672283333]",research,Alive or Dead: Alive,https://www.inaturalist.org/observations/218021503
216138714,Atlantic Menhaden,2024-05-16 12:40:14-04:00,"Beach Ave, Bridgeton, NJ, US","[39.3206866667, -75.3198866667]",research,,https://www.inaturalist.org/observations/216138714
213532225,Atlantic Menhaden,2021-11-09 13:49:00-05:00,"Sandy Hook, Middletown Township, NJ, USA","[40.4333496, -73.9885498]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/213532225
208601184,Atlantic Menhaden,2023-07-08 14:24:00-04:00,"Liberty State Park, 1 Audrey Zapp Dr, Jersey City, NJ 07305, USA","[40.7018802, -74.0529343]",research,,https://www.inaturalist.org/observations/208601184
206632005,Atlantic Menhaden,2023-11-07 11:29:20-05:00,"North Atlantic Ocean, NJ, US","[40.4713829002, -73.9939016943]",research,,https://www.inaturalist.org/observations/206632005
204608921,Atlantic Menhaden,2024-03-27 11:55:34-04:00,"Palmyra, NJ, USA","[40.0086021997, -75.0437122]",research,,https://www.inaturalist.org/observations/204608921
197786041,Atlantic Menhaden,2024-01-27 07:43:34-05:00,"Brigantine, NJ 08203, USA","[39.4350816001, -74.3345411494]",research,,https://www.inaturalist.org/observations/197786041
196400216,Atlantic Menhaden,2023-10-22 11:03:05-04:00,"North Atlantic Ocean, NJ, US","[40.4724948793, -73.9952455859]",research,,https://www.inaturalist.org/observations/196400216
194062093,Atlantic Menhaden,2023-12-15 15:17:00-05:00,"Cape May County, NJ, USA","[39.2667175589, -74.5851671721]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/194062093
193210494,Atlantic Menhaden,2023-12-04 12:49:39-05:00,"Middletown Township, NJ, USA","[40.4536671997, -74.026784]",research,,https://www.inaturalist.org/observations/193210494
192509487,Atlantic Menhaden,2020-11-27 12:33:00-05:00,"Englewood Cliffs, NJ 07632, USA","[40.8631573975, -73.9538994681]",research,,https://www.inaturalist.org/observations/192509487
191179970,Atlantic Menhaden,2023-11-15 12:34:58-05:00,"Ocean County, NJ, USA","[39.5171032, -74.2703721]",research,,https://www.inaturalist.org/observations/191179970
190906944,Atlantic Menhaden,2023-11-06 13:10:20-05:00,"Middletown Township, NJ, USA","[40.4623264, -74.0437759997]",research,,https://www.inaturalist.org/observations/190906944
189987169,Atlantic Menhaden,2023-11-04 14:25:00-04:00,"Ocean City, NJ, USA","[39.2585827387, -74.6154405437]",research,Alive or Dead: Alive,https://www.inaturalist.org/observations/189987169
188931545,Atlantic Menhaden,2021-12-31 10:50:20-05:00,"Gateway National Recreation Area, Monmouth County, US-NJ, US","[40.4558097514, -73.9958805999]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/188931545
188599008,Atlantic Menhaden,2023-10-22 11:00:19-04:00,"Port Republic, NJ, USA","[39.5171802997, -74.4967551]",research,,https://www.inaturalist.org/observations/188599008
185680737,Atlantic Menhaden,2023-09-30 15:56:00-04:00,"Upper New York Bay, Jersey City, NJ, US","[40.6964901425, -74.0676703976]",research,,https://www.inaturalist.org/observations/185680737
185499822,Atlantic Menhaden,2023-09-29 16:17:00-04:00,"Cape May County, US-NJ, US","[39.1750192754, -74.688061617]",research,,https://www.inaturalist.org/observations/185499822
185310765,Atlantic Menhaden,2023-09-13 14:10:00-04:00,"Cape May County, NJ, USA","[38.9336604894, -74.8874002705]",research,,https://www.inaturalist.org/observations/185310765
183439088,Atlantic Menhaden,2023-09-15 14:05:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5639566033, -74.3416481212]",research,,https://www.inaturalist.org/observations/183439088
183439071,Atlantic Menhaden,2023-09-15 13:45:00-04:00,"Little Egg Harbor Township, NJ, USA","[39.5635228427, -74.3413391226]",research,,https://www.inaturalist.org/observations/183439071
182324786,Atlantic Menhaden,2023-09-08 10:45:27-04:00,"Cape Island, Cape May Point, NJ, US","[38.9347310077, -74.9662029622]",research,,https://www.inaturalist.org/observations/182324786
181677314,Atlantic Menhaden,2023-09-03 22:00:45-04:00,"Cape May County, NJ, USA","[38.9301711503, -74.9124737084]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/181677314
181460349,Atlantic Menhaden,2023-09-01 19:47:06-04:00,"Bowsprit Pt, Lanoka Harbor, NJ, US","[39.8615083333, -74.1460278333]",research,,https://www.inaturalist.org/observations/181460349
181437004,Atlantic Menhaden,2023-09-01 19:41:59-04:00,"Lanoka Harbor, Lacey Township, NJ 08734, USA","[39.8615029722, -74.145964]",research,,https://www.inaturalist.org/observations/181437004
181198403,Atlantic Menhaden,2023-08-31 22:37:00-04:00,United States,"[40.0765462333, -74.0025947091]",research,,https://www.inaturalist.org/observations/181198403
180458783,Atlantic Menhaden,2023-08-27 10:17:39-04:00,"Strathmere Bay, Ocean City, NJ, US","[39.2131466667, -74.6466]",research,,https://www.inaturalist.org/observations/180458783
179446610,Atlantic Menhaden,2023-08-20 14:57:31-04:00,"Monmouth County, NJ, USA","[40.4109861448, -74.0032947063]",research,,https://www.inaturalist.org/observations/179446610
178402034,Atlantic Menhaden,2023-08-13 17:11:09-04:00,"Dover Beaches North, Toms River, NJ 08735, USA","[39.9832648934, -74.0712632239]",research,,https://www.inaturalist.org/observations/178402034
178228963,Atlantic Menhaden,2023-08-12 23:55:36-04:00,"Port Republic, NJ, USA","[39.5488039, -74.4615126]",research,,https://www.inaturalist.org/observations/178228963
178225398,Atlantic Menhaden,2023-08-12 22:21:18-04:00,"Washington, NJ, USA","[39.6265769722, -74.6193889722]",research,,https://www.inaturalist.org/observations/178225398
177899596,Atlantic Menhaden,2023-08-11 18:19:07-04:00,"Ortley Beach, Toms River, NJ, USA","[39.9603781694, -74.0780308278]",research,,https://www.inaturalist.org/observations/177899596
177743793,Atlantic Menhaden,2023-08-10 12:17:07-04:00,"Johnson Park, Hackensack, NJ, US","[40.8927497208, -74.0364550234]",research,,https://www.inaturalist.org/observations/177743793
177378816,Atlantic Menhaden,2023-08-06 09:42:04-04:00,United States,"[40.0940815885, -74.1850558167]",research,,https://www.inaturalist.org/observations/177378816
177104119,Atlantic Menhaden,2023-08-06 10:18:22-04:00,"Middletown Township, NJ, USA","[40.448542, -73.9979649722]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/177104119
177104092,Atlantic Menhaden,2023-08-06 10:17:52-04:00,"Sandy Hook, Middletown Township, NJ, USA","[40.448621, -73.998298]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/177104092
176875705,Atlantic Menhaden,2023-08-05 20:10:02-04:00,"Atlantic Highlands, NJ, USA","[40.4176579152, -74.0374375507]",research,,https://www.inaturalist.org/observations/176875705
176875020,Atlantic Menhaden,2023-08-05 19:51:30-04:00,"Atlantic Highlands, NJ, USA","[40.4176530653, -74.0374127403]",research,,https://www.inaturalist.org/observations/176875020
175242963,Atlantic Menhaden,2023-07-22 17:22:13-04:00,"Gateway National Recreation Area, Highlands, NJ, US","[40.4270526919, -73.9862839744]",research,,https://www.inaturalist.org/observations/175242963
174388052,Atlantic Menhaden,2023-07-22 14:47:46-04:00,"North Atlantic Ocean, NJ, US","[40.4276987036, -73.9098349932]",research,,https://www.inaturalist.org/observations/174388052
174326440,Atlantic Menhaden,2023-07-20 18:04:00-04:00,"Belmar, NJ, USA","[40.1872771902, -74.0100682932]",research,,https://www.inaturalist.org/observations/174326440
174218252,Atlantic Menhaden,2023-07-21 15:26:37-04:00,"West Creek, West Creek, NJ, US","[39.6226583333, -74.3051]",research,,https://www.inaturalist.org/observations/174218252
174212452,Atlantic Menhaden,2023-07-20 15:14:41-04:00,"North Atlantic Ocean, NJ, US","[40.2001508348, -73.9835782177]",research,,https://www.inaturalist.org/observations/174212452
174095598,Atlantic Menhaden,2023-07-20 22:24:10-04:00,"New Jersey, US","[39.6377478531, -74.0284390217]",research,,https://www.inaturalist.org/observations/174095598
174033469,Atlantic Menhaden,2023-07-12 11:43:15-04:00,"Brick Township, NJ 08723, USA","[40.0409319722, -74.0583139722]",research,,https://www.inaturalist.org/observations/174033469
174005432,Atlantic Menhaden,2023-07-20 09:19:00-04:00,"Point Pleasant Beach, NJ 08742, USA","[40.1034444444, -74.0371638889]",research,,https://www.inaturalist.org/observations/174005432
173690082,Atlantic Menhaden,2023-07-18 19:51:55-04:00,"Leonardo, Middletown Township, NJ 07737, USA","[40.440842379, -74.0949615464]",research,Life Stage: Juvenile,https://www.inaturalist.org/observations/173690082
173478889,Atlantic Menhaden,2021-09-23 18:35:00-04:00,"Atlantic City, NJ, USA","[39.3768695447, -74.4157538956]",research,"Life Stage: Juvenile, Alive or Dead: Alive",https://www.inaturalist.org/observations/173478889
173284660,Atlantic Menhaden,2023-05-28 11:16:00-04:00,"Old Bridge, NJ, USA","[40.4389575672, -74.2741544618]",research,,https://www.inaturalist.org/observations/173284660
172072225,Atlantic Menhaden,2023-07-08 23:57:00-04:00,"Manasquan, NJ, USA","[40.1095153162, -74.0428562765]",research,,https://www.inaturalist.org/observations/172072225
171958729,Atlantic Menhaden,2023-07-09 04:14:43-04:00,United States,"[40.1943837302, -74.0102853639]",research,,https://www.inaturalist.org/observations/171958729
169925904,Atlantic Menhaden,2023-06-28 05:17:06-04:00,"Secaucus, NJ, USA","[40.763888, -74.0867099722]",research,,https://www.inaturalist.org/observations/169925904
169925681,Atlantic Menhaden,2023-06-28 06:55:23-04:00,"North Arlington, NJ 07031, USA","[40.783892, -74.1095279722]",research,,https://www.inaturalist.org/observations/169925681
169745588,Atlantic Menhaden,2023-06-26 08:51:49-04:00,United States,"[40.9669350667, -74.1310467988]",research,,https://www.inaturalist.org/observations/169745588
169464182,Atlantic Menhaden,2023-06-25 16:58:58-04:00,"Brick Township, NJ 08723, USA","[40.04903674, -74.08196183]",research,,https://www.inaturalist.org/observations/169464182
169358150,Atlantic Menhaden,2023-06-24 11:19:03-04:00,"Gateway National Recreation Area, Atlantic Highlands, NJ, US","[40.4559783333, -74.0048916667]",research,,https://www.inaturalist.org/observations/169358150
168471284,Atlantic Menhaden,2023-06-19 11:45:49-04:00,Sandy Hook,"[40.4333404536, -73.9885499328]",research,,https://www.inaturalist.org/observations/168471284
168467844,Atlantic Menhaden,2023-06-20 05:44:54-04:00,"West Side, Jersey City, NJ, USA","[40.7275289722, -74.0926259722]",research,,https://www.inaturalist.org/observations/168467844
166811149,Atlantic Menhaden,2023-06-11 11:01:32-04:00,"Raritan Bay, South Amboy, NJ, US","[40.4846621047, -74.2727159275]",research,,https://www.inaturalist.org/observations/166811149
164579351,Atlantic Menhaden,2023-05-29 14:01:21-04:00,"Raritan Bay, NJ, US","[40.4831622679, -74.0151228741]",research,,https://www.inaturalist.org/observations/164579351
163730220,Atlantic Menhaden,2023-05-25 13:13:25-04:00,"North Bergen, NJ 07047, USA","[40.812508, -74.0301769722]",research,,https://www.inaturalist.org/observations/163730220
161779711,Atlantic Menhaden,2023-05-13 12:34:04-04:00,"Matawan, NJ 07747, USA","[40.435521, -74.2787490997]",research,,https://www.inaturalist.org/observations/161779711
161330532,Atlantic Menhaden,2023-05-12 20:07:17-04:00,"Westons Mill Pond, New Brunswick, NJ, US","[40.4828216667, -74.4125966667]",research,,https://www.inaturalist.org/observations/161330532
160990446,Atlantic Menhaden,2023-04-25 16:25:48-04:00,"Matawan, NJ 07747, USA","[40.4220279997, -74.227254]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/160990446
160967018,Atlantic Menhaden,2023-05-07 16:47:08-04:00,"Gateway National Recreation Area, Highlands, NJ, US","[40.4063876869, -73.9813956342]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/160967018
159913224,Atlantic Menhaden,2023-05-05 13:09:19-04:00,"Matawan, NJ 07747, USA","[40.435504, -74.277724]",research,,https://www.inaturalist.org/observations/159913224
159501798,Atlantic Menhaden,2023-05-03 14:13:54-04:00,"Matawan, NJ 07747, USA","[40.43155, -74.2809361111]",research,,https://www.inaturalist.org/observations/159501798
158798957,Atlantic Menhaden,2023-05-01 14:00:39-04:00,"Matawan, NJ 07747, USA","[40.4315959722, -74.280951]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/158798957
154445426,Atlantic Menhaden,2023-04-11 08:16:00-04:00,"Cape May Point, NJ, USA","[38.9373346, -74.9693418]",research,,https://www.inaturalist.org/observations/154445426
153575236,Atlantic Menhaden,2023-04-05 10:58:16-04:00,Cheesequake State Park,"[40.4397471776, -74.2692229897]",research,,https://www.inaturalist.org/observations/153575236
152856257,Atlantic Menhaden,2023-03-30 12:54:53-04:00,"Matawan, NJ 07747, USA","[40.4383416667, -74.2768305556]",research,,https://www.inaturalist.org/observations/152856257
152102643,Atlantic Menhaden,2023-03-23 13:18:00-04:00,"Leonardo, Middletown Township, NJ 07737, USA","[40.4229659255, -74.0597771699]",research,,https://www.inaturalist.org/observations/152102643
149416391,Atlantic Menhaden,2022-07-10 10:17:05-04:00,"Absecon Island, Atlantic City, NJ, US","[39.3733466667, -74.4133133333]",research,,https://www.inaturalist.org/observations/149416391
149281804,Atlantic Menhaden,2023-02-20 16:38:55-05:00,"Ocean City, Ocean City, NJ, US","[39.2168783333, -74.64727]",research,,https://www.inaturalist.org/observations/149281804
147917136,Atlantic Menhaden,2023-02-02 12:54:18-05:00,"Port Norris, NJ 08349, USA","[39.2877394289, -75.1301688328]",research,,https://www.inaturalist.org/observations/147917136
145702076,Atlantic Menhaden,2023-01-02 12:05:21-05:00,"Long Beach Island, Ocean Gate, NJ, US","[39.7517398882, -74.1023347917]",research,,https://www.inaturalist.org/observations/145702076
144920459,Atlantic Menhaden,2022-12-04 16:20:00-05:00,"Seaside Park, NJ 08752, USA","[39.9313472222, -74.0736]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/144920459
144109215,Atlantic Menhaden,2022-11-02 11:31:21-04:00,"Raritan Bay, Belford, NJ, US","[40.497295, -74.0463555]",research,,https://www.inaturalist.org/observations/144109215
142785619,Atlantic Menhaden,2022-11-24 07:46:24-05:00,"North Atlantic Ocean, Berkeley Township, NJ, US","[39.8939883333, -74.0797805]",research,,https://www.inaturalist.org/observations/142785619
142758485,Atlantic Menhaden,2022-11-19 14:10:05-05:00,"Palisades Interstate Park, Fort Lee, NJ, US","[40.8598122577, -73.9571962741]",research,,https://www.inaturalist.org/observations/142758485
142348883,Atlantic Menhaden,2022-11-18 14:13:56-05:00,"Spring Lake, NJ 07762, USA","[40.1389939722, -74.0250479722]",research,,https://www.inaturalist.org/observations/142348883
141383743,Atlantic Menhaden,2022-11-06 07:57:04-05:00,"S Delsea Dr, Cape May, NJ, US","[39.0629805, -74.9125366667]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/141383743
141177589,Atlantic Menhaden,2022-11-05 13:25:12-04:00,"Sedge Islands, Seaside Park, NJ, US","[39.9498485954, -74.0630286763]",research,,https://www.inaturalist.org/observations/141177589
140838884,Atlantic Menhaden,2022-10-29 08:03:00-04:00,"North Atlantic Ocean, NJ, US","[40.2124300658, -73.9884610763]",research,,https://www.inaturalist.org/observations/140838884
138485504,Atlantic Menhaden,2022-10-08 12:53:27-04:00,"Horseshoe Cove, Highlands, NJ, US","[40.4359783333, -73.9926616667]",research,,https://www.inaturalist.org/observations/138485504
138308292,Atlantic Menhaden,2022-10-10 14:50:00-04:00,"Old Bridge, NJ, USA","[40.4531298072, -74.2291290098]",research,"Life Stage: Juvenile, Alive or Dead: Dead",https://www.inaturalist.org/observations/138308292
138131025,Atlantic Menhaden,2022-10-09 12:01:43-04:00,"North Atlantic Ocean, NJ, US","[39.9559133333, -74.0670778333]",research,,https://www.inaturalist.org/observations/138131025
137978037,Atlantic Menhaden,2022-10-07 17:44:05-04:00,"Avalon, NJ 08202, USA","[39.0634542997, -74.7463592997]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/137978037
137141835,Atlantic Menhaden,2022-09-25 15:35:07-04:00,"Sandy Hook, Middletown Township, NJ, USA","[40.4155426025, -73.9816284178]",research,,https://www.inaturalist.org/observations/137141835
136957773,Atlantic Menhaden,2022-09-29 13:44:00-04:00,"Piscataway, NJ 08854, USA","[40.5070365752, -74.4486525043]",research,,https://www.inaturalist.org/observations/136957773
135603661,Atlantic Menhaden,2022-09-18 15:23:43-04:00,"Manahawkin Bay, Ocean Gate, NJ, US","[39.6667545793, -74.2103272745]",research,,https://www.inaturalist.org/observations/135603661
135443590,Atlantic Menhaden,2022-09-16 09:52:44-04:00,"Cedar Bridge Rd, Manahawkin, NJ, US","[39.7171366667, -74.2546466667]",research,,https://www.inaturalist.org/observations/135443590
133397369,Atlantic Menhaden,2022-09-02 18:56:52-04:00,Sayreville,"[40.4691619873, -74.2671737671]",research,,https://www.inaturalist.org/observations/133397369
132620718,Atlantic Menhaden,2022-08-27 12:12:30-04:00,United States,"[39.7790176856, -74.1494752651]",research,,https://www.inaturalist.org/observations/132620718
129810245,Atlantic Menhaden,2022-08-06 13:07:48-04:00,United States,"[39.7470229297, -74.0630064466]",research,,https://www.inaturalist.org/observations/129810245
129809497,Atlantic Menhaden,2022-08-06 11:43:45-04:00,United States,"[39.6928160238, -74.0863960006]",research,,https://www.inaturalist.org/observations/129809497
129337530,Atlantic Menhaden,2022-08-03 16:26:57-04:00,"new jersey, us","[40.058324, -74.405661]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/129337530
129332973,Atlantic Menhaden,2022-08-03 17:13:04-04:00,"Ocean City, Ocean City, NJ, US","[39.2513283333, -74.6183033333]",research,,https://www.inaturalist.org/observations/129332973
127560411,Atlantic Menhaden,2022-07-22 18:38:03-04:00,"Long Beach Island, West Creek, NJ, US","[39.6089333333, -74.2084966667]",research,,https://www.inaturalist.org/observations/127560411
